Loading repository data...
Reading installed packages...

S  | Name                                  | Summary                                                                      | Type
---+---------------------------------------+------------------------------------------------------------------------------+--------
i+ | aaa_base                              | openSUSE Base Package                                                        | package
i  | acl                                   | Commands for Manipulating POSIX Access Control Lists                         | package
i  | afterburn                             | A cloud provider agent                                                       | package
i+ | afterburn-dracut                      | Dracut modules for afterburn                                                 | package
i  | alts                                  | Helper for executing preferred application based on user preferences         | package
i+ | bash                                  | The GNU Bourne-Again Shell                                                   | package
i  | bash-sh                               | Handle behaviour of /bin/sh                                                  | package
i  | bc                                    | GNU Command Line Calculator                                                  | package
i+ | binutils                              | GNU Binutils                                                                 | package
i  | boost-license1_82_0                   | Boost License                                                                | package
i  | btrfsprogs                            | Utilities for the Btrfs filesystem                                           | package
i  | btrfsprogs-udev-rules                 | Udev rules for configuring btrfs file systems                                | package
i+ | busybox                               | Minimalist variant of UNIX utilities linked in a single executable           | package
i+ | ca-certificates                       | Utilities for system wide CA certificate installation                        | package
i+ | ca-certificates-mozilla               | CA certificates for OpenSSL                                                  | package
i+ | checkmedia                            | Check installation or Live media                                             | package
i  | chkstat                               | SUSE Linux Default Permissions tool                                          | package
i+ | coreutils                             | GNU Core Utilities                                                           | package
i  | cpio                                  | A Backup and Archiving Utility                                               | package
i  | cracklib                              | Library to crack passwords using dictionaries                                | package
i+ | cracklib-dict-small                   | Small dictionary for cracklib, a password checking library                   | package
i  | crypto-policies                       | System-wide crypto policies                                                  | package
i  | cryptsetup                            | Setup program for dm-crypt Based Encrypted Block Devices                     | package
i+ | curl                                  | A Tool for Transferring Data from URLs                                       | package
i  | dbus-1                                | D-Bus Message Bus System                                                     | package
i  | dbus-1-common                         | D-BUS message bus configuration                                              | package
i  | dbus-1-daemon                         | D-Bus message bus daemon                                                     | package
i  | dbus-1-tools                          | Tools that go along with dbus                                                | package
i  | deltarpm                              | Tools to Create and Apply deltarpms                                          | package
i  | device-mapper                         | Device Mapper Tools                                                          | package
i  | dialog                                | Menus and Input Boxes for Shell Scripts                                      | package
i  | diffutils                             | GNU diff Utilities                                                           | package
i+ | dmraid                                | A Device-Mapper Software RAID Support Tool                                   | package
i  | dnf                                   | Package manager forked from Yum, using libsolv as a dependency resolver      | package
i  | dnf-data                              | Common data and configuration files for DNF                                  | package
i+ | dosfstools                            | Utilities for Making and Checking MS-DOS FAT File Systems on Linux           | package
i+ | dracut                                | Event driven initramfs infrastructure                                        | package
i+ | dracut-extra                          | Dracut modules usually not required for normal operation                     | package
i  | dracut-fips                           | Dracut modules to build a dracut initramfs with an integrity check           | package
i+ | dracut-ima                            | Dracut modules to build a dracut initramfs with IMA                          | package
i  | dracut-kiwi-lib                       | KIWI - Dracut kiwi Library                                                   | package
i+ | dracut-kiwi-live                      | KIWI - Dracut module for iso(live) image type                                | package
i+ | dracut-kiwi-oem-dump                  | KIWI - Dracut module for oem(install) image type                             | package
i+ | dracut-kiwi-oem-repart                | KIWI - Dracut module for oem(repart) image type                              | package
i+ | dracut-sshd                           | Provide SSH access to initramfs early user space                             | package
i+ | dracut-tools                          | Tools to build a local initramfs                                             | package
i+ | dracut-transactional-update           | Dracut module for supporting transactional updates                           | package
i  | e2fsprogs                             | Utilities for the Second Extended File System                                | package
i  | elfutils                              | Higher-level library to access ELF files                                     | package
i  | evmctl                                | IMA/EVM signing utility                                                      | package
i+ | fcoe-utils                            | FCoE userspace management tools                                              | package
i  | file                                  | A Tool to Determine File Types                                               | package
i  | file-magic                            | Database for libmagic to help identify files                                 | package
i+ | filesystem                            | Basic Directory Layout                                                       | package
i  | fillup                                | Tool for Merging Config Files                                                | package
i  | findutils                             | The GNU versions of find utilities (find and xargs)                          | package
i  | fips                                  | FIPS 140-2 specific packages                                                 | pattern
i  | gawk                                  | Domain-specific language for text processing                                 | package
i  | gio-branding-openSUSE                 | openSUSE definitions of default settings and applications                    | package
i  | girepository-1_0                      | Base GObject Introspection Bindings                                          | package
i+ | git                                   | Fast, scalable, distributed revision control system                          | package
i  | git-core                              | Core git tools                                                               | package
i  | glib2-tools                           | Tools from glib2, a general-purpose utility library                          | package
i+ | glibc                                 | Standard Shared Libraries (from the GNU C Library)                           | package
i+ | glibc-locale-base                     | en_US Locale Data for Localized Programs                                     | package
i  | gpg2                                  | File encryption, decryption, signature creation and verification utility     | package
i  | gptfdisk                              | GPT partitioning and MBR repair software                                     | package
i  | grep                                  | Print lines matching a pattern                                               | package
i+ | gzip                                  | GNU Zip Compression Utilities                                                | package
